date,name,street1,street2,city,state,zip,GooglePlusCode,what3words,CoffeeURL,mapEmbedURL
2026-09-21,Foxtail Coffee,431 E Grand River Ave,,East Lansing,MI,48823,"PGMC+JF East Lansing, Michigan",///trap.life.buzz,https://www.foxtailcoffee.com/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1697.8092045946682!2d-84.4798635397953!3d42.73429947070748!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8822e92573ca0fa5%3A0xc116fec159eb3a52!2sFoxtail%20Coffee%20Grand%20River!5e0!3m2!1sen!2sus!4v1789396360741!5m2!1sen!2sus
2026-09-28,Chateau Coffee,223 M. A. C. Ave,,East Lansing,MI,48823,"PGP9+49 East Lansing, Michigan",///hill.happen.planet,https://www.chateaucoffeeco.com/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d413.5571850458913!2d-84.48151968234109!3d42.73496404036144!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8822e9a2595d7be1%3A0xea174ef774936599!2sCh%C3%A2teau%20Coffee%20Co.!5e0!3m2!1sen!2sus!4v1789396461608!5m2!1sen!2sus
2026-10-05,Fosters Coffee,196 Albert Ave,,East Lansing,MI,48823,"PGP9+73 East Lansing, Michigan",///motion.tall.drove,http://fostercoffee.co/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1697.7858316486556!2d-84.48325732377212!3d42.73515321338108!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8822e99935723377%3A0x3b5c05dbd14f865d!2sFoster%20Coffee%20Company!5e0!3m2!1sen!2sus!4v1789396299307!5m2!1sen!2sus
2026-10-12,Strange Matter Coffee @ MSU Union,49 Abbot Rd Ste 113,,East Lansing,MI,48824,"PGM8+JR East Lansing, Michigan",///senses.update.tester,http://strangemattercoffee.com/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1697.7917061376054!2d-84.48316408794858!3d42.73493863745124!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8822e98afc52632b%3A0xf26661d6808e18de!2sStrange%20Matter%20Coffee%20MSU%20Union!5e0!3m2!1sen!2sus!4v1789396330924!5m2!1sen!2sus
2026-10-19,Poindexter Coffee,133 Evergreen Ave,,East Lansing,MI,48823,"PGP8+83 East Lansing, Michigan",///stews.action.ruins,https://www.graduatehotels.com/east-lansing/restaurant/poindexter/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2930.486698656258!2d-84.48734958829282!3d42.73575401116323!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8822e9195b73f763%3A0xf4ef8d61016c757d!2sPoindexter%20Coffee!5e0!3m2!1sen!2sus!4v1789396232178!5m2!1sen!2sus
2026-10-26,Starbucks @ MSU Main Library,366 W Circle Dr,,East Lansing,MI,48824,"PGJ8+8Q East Lansing, Michigan",///purely.lunch.pipe,https://eatatstate.msu.edu/campus-dining/starbucks,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d712.7793327667342!2d-84.48355474514686!3d42.73120805975556!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8822c3f4e0c484ab%3A0x2af4848b725cfc37!2sStarbucks%20Coffee%20Company!5e0!3m2!1sen!2sus!4v1789396035890!5m2!1sen!2sus
2026-10-02,Moka & Co,565 E Grand River Ave Unit 200,,East Lansing,MI,48823,"PGMF+99 East Lansing, Michigan",///sang.decreased.lakes,https://mokanco.com/lansing-msu/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d483.3663897490042!2d-84.47726285154212!3d42.73366396396683!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8822e9e48aa1fd61%3A0xb938974b76da3b7b!2sMoka%20%26%20Co!5e0!3m2!1sen!2sus!4v1789396429175!5m2!1sen!2sus
2026-11-09,Biggby Coffee,300 W Grand River Ave,,East Lansing,MI,48823,"PGP6+MM East Lansing, Michigan",///belly.trace.rooms,https://biggby.com/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2930.4859538810647!2d-84.48879798116083!3d42.73576977163394!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8822e9d132273597%3A0x9f9df5124f50aa2d!2sBIGGBY%20COFFEE!5e0!3m2!1sen!2sus!4v1789396274624!5m2!1sen!2sus
2026-11-16,Haraz Coffee,501 E Grand River Ave,,East Lansing,MI,48823,"PGMC+HM East Lansing, Michigan",///safe.cooks.ladder,https://harazcoffeehouse.com/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d191.27004208348148!2d-84.4785170545086!3d42.733945750442246!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8822e945d562999d%3A0x38aab9c5fdd5f788!2sHaraz%20Coffee%20House!5e0!3m2!1sen!2sus!4v1789396398460!5m2!1sen!2sus
2026-11-23,Starbucks @ MSU Main Library,366 W Circle Dr,,East Lansing,MI,48824,"PGJ8+8Q East Lansing, Michigan",///purely.lunch.pipe,https://eatatstate.msu.edu/campus-dining/starbucks,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d712.7793327667342!2d-84.48355474514686!3d42.73120805975556!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8822c3f4e0c484ab%3A0x2af4848b725cfc37!2sStarbucks%20Coffee%20Company!5e0!3m2!1sen!2sus!4v1789396035890!5m2!1sen!2sus
